PrimaryDI|sizeType|size (Unit)|size (Value)|sizeText
152411d8-d9da-4233-9fc1-bc04d19864dd|Device Size Text, specify|""|""|650 cc
270dcb6a-7c93-4971-82ba-d388ff097ce5|Device Size Text, specify|""|""|560 cc
e5343e3b-59c8-41fc-811b-dd7925a9ebb0|Device Size Text, specify|""|""|450 cc
9272da94-e4a3-4293-87da-4748057df29d|Device Size Text, specify|""|""|240 cc
9dbab928-0501-4a88-a6da-9c6d436e1e3a|Device Size Text, specify|""|""|200 cc
03e2a833-3a6e-48f2-b1ad-b1c2d667b544|Device Size Text, specify|""|""|640 cc
4559b63b-1cb9-4b3c-9bf0-01cc0f563ff4|Device Size Text, specify|""|""|560 cc
10178eab-b7c9-42b3-99f4-b8671e966b26|Device Size Text, specify|""|""|445 cc
afd44837-2b4b-4e3d-a527-6673a092fea5|Device Size Text, specify|""|""|375  cc
cb7ef51d-1e39-43d1-9ab2-466548daf8c7|Device Size Text, specify|""|""|360 cc
7c883111-ced3-4075-862d-4d9b4dfbe3a7|Device Size Text, specify|""|""|310 cc
04a10483-98da-4711-9854-8579481280ce|Device Size Text, specify|""|""|210 cc
1f7eaf3a-0c8c-49c1-beee-0c154392d188|Device Size Text, specify|""|""|175 cc
8e47230d-2190-4d93-8628-71b71b12f6be|Device Size Text, specify|""|""|640 cc
7d289475-9a9d-46a7-98dd-d934291d7ed1|Device Size Text, specify|""|""|440 cc
3e6f6a94-ba87-42c5-982e-ceffe99d5450|Device Size Text, specify|""|""|320 cc
ca1b2945-b437-4753-a93e-3b05a4456df1|Device Size Text, specify|""|""|220 cc
21187898-55e3-4b10-a6ce-86fb6a4836f0|Device Size Text, specify|""|""|460 cc
173d3707-6946-48fb-99a5-880ef470ec4b|Device Size Text, specify|""|""|290 cc
a64b698e-66ef-435b-9d81-efed83ea2ffb|Device Size Text, specify|""|""|170 cc
e0af1e11-3cb8-4105-979a-7e0fc837241d|Device Size Text, specify|""|""|110 cc
f8077e6a-08f8-48c6-8926-b11c8d668d20|Device Size Text, specify|""|""|750 cc
101ab24b-b640-4b14-8f80-383ec89cf7cd|Device Size Text, specify|""|""|375 cc
a653a72c-8ea8-48e0-bebd-aca8f9391f24|Device Size Text, specify|""|""|200 cc
bd632cff-3e77-485d-8efd-862c7c3a0a49|Device Size Text, specify|""|""|520 cc
f9227ee6-a568-40c8-afe1-f929e48624af|Device Size Text, specify|""|""|685 cc
c808d1a6-1a33-4cdc-952e-5885e022183d|Device Size Text, specify|""|""|485 cc
b3e430d5-4668-49f7-b6e2-7e4cb8edc459|Device Size Text, specify|""|""|405 cc
