reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
TCM-405,405,,13.25,4.4,,,,
TCM-445,445,,13.5,4.5,,,,
TCM-485,485,,14,4.6,,,,
TCM-520,520,,14.5,4.8,,,,
TCM-560,560,,14.75,4.9,,,,
TCM-600,600,,15,4.9,,,,
TCM-640,640,,15.5,5,,,,
TCM-685,685,,16,5.2,,,,
TCM-755,755,,16.5,5.2,,,,
TSM-140,140,,9.5,3,,,,
TSM-175,175,,10,3.3,,,,
TSM-195,195,,10.25,3.4,,,,
TSM-210,210,,10.5,3.5,,,,
TSM-240,240,,11,3.7,,,,
TSM-255,255,,11.25,3.8,,,,
TSM-275,275,,11.5,3.9,,,,
TSM-295,295,,11.75,3.9,,,,
TSM-310,310,,12,4,,,,
TSM-330,330,,12.25,4.1,,,,
TSM-345,345,,12.5,4.2,,,,
TSM-360,360,,12.75,4.2,,,,
TSM-375,375,,13,4.3,,,,
TSM-405,405,,13.25,4.4,,,,
TSM-445,445,,13.5,4.5,,,,
TSM-485,485,,14,4.6,,,,
TSM-520,520,,14.5,4.8,,,,
TSM-560,560,,14.75,4.9,,,,
TSM-600,600,,15,4.9,,,,
TSM-640,640,,15.5,5,,,,
TSM-685,685,,16,5.2,,,,
TSM-755,755,,16.5,5.2,,,,
TRM-140,140,,9.5,3,,,,
TRM-175,175,,10,3.3,,,,
TRM-195,195,,10.25,3.4,,,,
TRM-210,210,,10.5,3.5,,,,
TRM-240,240,,11,3.7,,,,
TRM-255,255,,11.25,3.8,,,,
TRM-275,275,,11.5,3.9,,,,
TRM-295,295,,11.75,3.9,,,,
TRM-310,310,,12,4,,,,
TRM-330,330,,12.25,4.1,,,,
TRM-345,345,,12.5,4.2,,,,
TRM-360,360,,12.75,4.2,,,,
TRM-375,375,,13,4.3,,,,
TRM-405,405,,13.25,4.4,,,,
TRM-445,445,,13.5,4.5,,,,
TRM-485,485,,14,4.6,,,,
TRM-520,520,,14.5,4.8,,,,
TRM-560,560,,14.75,4.9,,,,
TRM-600,600,,15,4.9,,,,
TRM-640,640,,15.5,5,,,,
TRM-685,685,,16,5.2,,,,
TRM-755,755,,16.5,5.2,,,,
TCLP-125,125,,9.5,2.5,,,,
TCLP-145,145,,10,2.6,,,,
TCLP-165,165,,10.5,2.7,,,,
