reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
350-7425MC,425,,14.6,3.4,,,,
350-7445MC,445,,14.8,3.5,,,,
350-7470MC,470,,15,3.5,,,,
350-7490MC,490,,15.2,3.7,,,,
350-7510MC,510,,15.4,3.7,,,,
350-7555MC,555,,15.7,3.8,,,,
350-7595MC,595,,16.1,3.8,,,,
350-7640MC,640,,16.5,3.9,,,,
350-7680MC,680,,17,3.9,,,,
350-7750MC,750,,17.5,4,,,,
350-7800MC,800,,18,4.1,,,,
350-1001BC,100,,8.2,2.7,,,,
350-1251BC,125,,8.9,2.8,,,,
350-1501BC,150,,9.5,2.9,,,,
350-1751BC,175,,10,3.1,,,,
350-2001BC,200,,10.5,3.2,,,,
350-2251BC,225,,10.9,3.3,,,,
350-2501BC,250,,11.3,3.4,,,,
350-2751BC,275,,11.7,3.5,,,,
350-3001BC,300,,12,3.6,,,,
350-3251BC,325,,12.3,3.8,,,,
350-3501BC,350,,12.5,3.9,,,,
350-3751BC,375,,12.8,4,,,,
350-4001BC,400,,13.1,4,,,,
350-4251BC,425,,13.5,4.1,,,,
350-4501BC,450,,13.6,4.2,,,,
350-4751BC,475,,14,4.2,,,,
350-5001BC,500,,14.1,4.3,,,,
350-5251BC,525,,14.5,4.4,,,,
350-5501BC,550,,14.6,4.5,,,,
350-5751BC,575,,14.9,4.6,,,,
350-6001BC,600,,15,4.6,,,,
350-6501BC,650,,15.4,4.8,,,,
350-7001BC,700,,15.8,4.9,,,,
350-7501BC,750,,16.3,4.9,,,,
350-8001BC,800,,16.5,5.1,,,,
350-1254BC,125,,8.3,3.5,,,,
350-1504BC,150,,8.8,3.7,,,,
350-1754BC,175,,9.3,3.9,,,,
350-2004BC,200,,9.7,4,,,,
350-2254BC,225,,10.1,4.2,,,,
350-2504BC,250,,10.5,4.3,,,,
350-2754BC,275,,10.8,4.4,,,,
350-3004BC,300,,11.1,4.5,,,,
350-3254BC,325,,11.4,4.6,,,,
350-3504BC,350,,11.7,4.8,,,,
350-3754BC,375,,12,4.8,,,,
350-4004BC,400,,12.2,5,,,,
350-4254BC,425,,12.5,5,,,,
350-4504BC,450,,12.8,5.1,,,,
350-4754BC,475,,12.9,5.3,,,,
350-5004BC,500,,13.2,5.3,,,,
350-5504BC,550,,13.6,5.5,,,,
350-6004BC,600,,14,5.6,,,,
350-6504BC,650,,14.4,5.7,,,,
350-7004BC,700,,14.8,5.8,,,,
350-7504BC,750,,15.1,5.9,,,,
350-8004BC,800,,15.5,6,,,,
350-5135BC,135,,7.8,4.1,,,,
350-5160BC,160,,8.2,4.3,,,,
